YEAR,Month,AVG_SST,SST_Difference,Sacramento_PRCP,Sacramento_TAVG,LA_PRCP,LA_TAVG
1959,1,26.95,0.61,4.62,50.2,1.24,60
1959,2,27.24,0.62,3.64,50.3,3.32,56.3
1959,3,27.51,0.52,0.46,58.2,0,64.7
1959,4,27.68,0.33,0.3,64.3,0.5,66.2
1959,5,27.65,0.2,0,64.5,0,64.9
1959,6,27.16,-0.07,0,73.9,0,71.5
1959,7,26.63,-0.18,0,77.6,0,77.8
1959,8,26.15,-0.28,0,74,0,75.5
1959,9,26.08,-0.09,1.54,70.1,0.01,73.4
1959,10,26.07,-0.03,0,67.5,0,70.2
1959,11,26.15,0.05,0.01,56.4,0.07,66.6
1959,12,26.16,-0.04,1.28,48.3,1.09,60.6
1960,1,26.24,-0.1,3.25,47.3,2.94,54.6
1960,2,26.51,-0.1,2.91,51.6,2.26,57
1960,3,26.92,-0.07,1.62,57,0.31,62
1960,4,27.39,0.03,1.26,60.1,1.45,65.3
1960,5,27.47,0.02,0.41,64.5,0.05,67.7
1960,6,27.26,0.03,0,75.4,0,70.1
1960,7,26.93,0.13,0,77.5,0,75.5
1960,8,26.66,0.24,0,74.7,0,73.1
1960,9,26.44,0.27,0,71.7,0,75.5
1960,10,26.3,0.2,0,63.9,0.01,68
1960,11,26.23,0.12,4.39,52.6,2.4,60.3
1960,12,26.23,0.05,0.71,46.3,0.15,58.7
1961,1,26.34,0.04,3.11,43,1.28,61.9
1961,2,26.58,0.03,1.19,53.1,0.15,61
1961,3,26.96,0.04,2.02,53.9,0.57,60.1
1961,4,27.35,0.09,0.49,60.6,0.29,64
1961,5,27.59,0.23,0.13,61.4,0,63.3
1961,6,27.42,0.27,0.02,74.9,0,68.8
1961,7,26.9,0.14,0,78,0,74.2
1961,8,26.27,-0.13,0.01,76.4,0.03,74.3
1961,9,25.89,-0.3,0.17,70.2,0.05,70.9
1961,10,25.85,-0.26,0.03,64.3,0,67.9
1961,11,25.91,-0.19,2.96,53.3,2.02,60.1
1961,12,26,-0.16,1.44,45.5,1.44,56.9
1962,1,26.05,-0.24,0.95,44,2.56,57.5
1962,2,26.32,-0.22,7.61,48.4,11.57,53.8
1962,3,26.71,-0.2,1.84,52.6,1.1,55.2
1962,4,27,-0.26,0.19,63.2,0,64.3
1962,5,27.09,-0.28,0.06,63.3,0.02,62.9
1962,6,26.96,-0.2,0.01,71.5,0,66.2
1962,7,26.72,-0.04,0,74.6,0,70.1
1962,8,26.34,-0.07,0.13,74.4,0,74
1962,9,26.07,-0.11,0.11,70.6,0,70.8
1962,10,25.88,-0.22,6.85,62.5,0.12,65.7
1962,11,25.79,-0.31,0.4,56.5,0,60.6
1962,12,25.73,-0.43,1.74,47.4,0,57.4
1963,1,25.89,-0.4,3.65,42.9,0.52,55.6
1963,2,26.39,-0.15,1.75,57.6,2.88,62.7
1963,3,27.07,0.15,3.56,52.8,2.78,58.3
1963,4,27.53,0.27,3.43,54.4,1.94,59.6
1963,5,27.68,0.31,0.64,62.9,0,64.1
1963,6,27.67,0.52,0.02,69.8,0.14,66.3
1963,7,27.62,0.86,0,73.1,0,72
1963,8,27.54,1.14,0,74.7,0.02,73.7
1963,9,27.4,1.22,0.35,73.7,1.31,77.2
1963,10,27.4,1.29,1.27,64.5,0.57,69.1
1963,11,27.47,1.37,3.92,52.6,2.15,62.2
1963,12,27.47,1.31,0.38,42.5,0,60.6
1964,1,27.36,1.07,3.35,46,1.43,56.7
1964,2,27.16,0.62,0.19,51.4,0,59
1964,3,27.03,0.12,0.83,53.4,1.79,58.6
1964,4,26.93,-0.33,0.16,59.2,0.33,60.5
1964,5,26.78,-0.58,0.19,62.7,0.01,61.7
1964,6,26.57,-0.58,0.41,69.3,0.32,64.8
1964,7,26.16,-0.6,0.01,74.9,0,72
1964,8,25.74,-0.66,0.06,74.8,0,73.3
1964,9,25.42,-0.76,0,69.7,0,70.1
1964,10,25.31,-0.8,1.55,67.4,0.33,70.5
1964,11,25.28,-0.82,2.64,51.5,1.72,59.8
1964,12,25.38,-0.78,5.7,50.9,2.05,56.4
1965,1,25.69,-0.59,3.66,47.3,0.84,58.2
1965,2,26.27,-0.28,0.48,51.5,0.23,57.9
1965,3,26.85,-0.07,1.61,56.1,2.49,59
1965,4,27.44,0.18,2.96,60,6.02,61.7
1965,5,27.82,0.46,0.07,66.7,0,63.4
1965,6,27.99,0.83,0,68.3,0.01,64.1
