Year,ENSO type
1970,Neutral
1971,La Nina
1972,Neutral
1973,El Nino
1974,La Nina
1975,Neutral
1976,La Nina
1977,Neutral
1978,El Nino
1979,Neutral
1980,El Nino
1981,Neutral
1982,Neutral
1983,El Nino
1984,Neutral
1985,Neutral
1986,Neutral
1987,El Nino
1988,El Nino
1989,La Nina
1990,Neutral
1991,Neutral
1992,El Nino
1993,Neutral
1994,Neutral
1995,El Nino
1996,Neutral
1997,Neutral
1998,El Nino
1999,La Nina
2000,El Nino
2001,Neutral
2002,Neutral
2003,El Nino
2004,Neutral
2005,Neutral
2006,Neutral
2007,El Nino
2008,La Nina
2009,Neutral
2010,El Nino
2011,La Nina
2012,La Nina
2013,Neutral
2014,Neutral
2015,El Nino
2016,El Nino
2017,La Nina
2018,La Nina
2019,Neutral
2020,La Nina
