DATE,PRCP,TAVG,TMAX,TMIN
1987,9.13,66,75.5,56.5
1988,11.64,66.1,75.3,56.9
1989,4.57,66.6,76.1,57.2
1990,6.5,67.5,76.8,58.2
1991,15.08,65.8,74.9,56.7
1992,22.66,68,77,58.9
1993,23.5,67.2,76,58.3
1994,8.67,67.5,76.8,58.3
1995,23.66,67.8,76.9,58.8
1996,17.75,67.6,76.7,58.6
1997,10.7,68.3,77.3,59.3
1998,27.87,66.1,74.7,57.5
1999,8.06,64.2,73.5,54.9
2000,11.93,65.1,74.3,55.8
2001,19.61,64,72.8,55.3
2002,7.36,64.4,73.5,55.4
2003,13.39,65.4,74.5,56.4
2004,20.12,65.4,74.3,56.5
2005,26.61,65.1,73.9,56.2
2006,11.61,66.7,76.3,57.2
2007,5.67,65.6,75,56.2
2008,14.44,66.4,76,56.7
2009,9.39,66.2,75.5,56.9
2010,23.1,65.7,74.4,57
2011,12.27,63.9,73.1,54.7
2012,8.17,65.5,74.8,56.2
2013,3.61,65.6,75.3,56
2014,9.78,68.1,77.6,58.5
2015,7.67,68.3,77.9,58.7
2016,11.81,67.1,76.4,57.8
2017,13.26,68.2,77.6,58.7
2018,8.87,67.2,76.3,58
