"STATION","NAME","DATE","AWND","CDSD","DP01","DP10","DSND","DSNW","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","1970",,"1287","        69","        47","        0","         0","         0","       201","        94","26","0","0.0","2.42","106","2500","23.09","0.0","61.6","74.4","48.8"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","1971",,"1239","        57","        25","        0","         0","         0","       187","        87","26","0","0.0","0.78","108","2881","9.80","0.0","59.7","72.8","46.6"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","1972",,"1217","        66","        32","        0","         0","         1","       206","        78","20","0","0.0","1.11","114","2901","13.94","0.0","60.2","72.8","47.6"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","1973",,"1314","        82","        50","        0","         0","         0","       201","        78","26","0","0.0","1.81","107","2915","26.51","0.0","61.4","73.7","49.1"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","1974",,"1102","        54","        38","        0","         0","         0","       197","        85","25","0","0.0","0.87","103","2789","15.16","0.0","60.5","73.4","47.5"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","1975",,"1613","        63","        30","        0","         0","         0","       187","        98","25","0","0.0","1.13","112","3027","13.20","0.0","61.2","73.7","48.7"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","1976",,"1344","        31","        16","        0","         1","         0","       227","        71","25","0","2.0","0.72","107","2419","6.26","2.0","62.2","75.9","48.5"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","1977",,"983","        47","        23","        0","         0","         0","       203","        58","28","0","0.0","1.56","106","2624","11.73","0.0","60.5","73.0","47.9"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","1978",,"1096","        60","        43","        0","         0","         0","       207","        68","25","0","0.0","1.50","108","2281","23.75","0.0","60.7","72.8","48.5"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","1979",,"1256","        58","        42","        0","         0","         0","       193","        73","23","0","0.0","1.48","104","2945","20.34","0.0","60.8","73.5","48.1"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","1980",,"875","        53","        35","        0","         0","         0","       200","        52","26","0","0.0","1.38","106","2737","19.35","0.0","59.8","72.2","47.5"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","1981",,"1178","        60","        36","        0","         0","         0","       210","        71","31","0","0.0","2.08","105","2824","22.35","0.0","61.4","73.8","49.1"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","1982",,"707","        75","        50","        0","         0","         0","       183","        40","24","0","0.0","2.99","100","2702","31.61","0.0","57.7","69.2","46.3"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","1983",,"1223","        91","        66","        0","         0","         0","       185","        61","26","0","0.0","1.88","104","3212","33.46","0.0","61.2","72.0","50.3"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","1984","7.2","1492","        58","        25","        0","         0","         0","       207","        90","30","0","0.0","0.73","107","2189","9.51","0.0","62.3","74.6","49.9"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","1985","6.9","1155","        47","        26","        0","         0","         0","       211","        72","27","0","0.0","1.85","105","2832","11.56","0.0","59.8","72.4","47.3"
